time,trajectories1,trajectories2
0.000,1116.046,558.769
0.067,1134.165,486.644
0.133,1155.049,420.276
0.200,1162.649,283.026
0.267,1155.250,209.018
0.333,1113.449,127.872
0.400,963.742,109.634
0.467,896.652,105.792
0.533,755.249,151.870
0.600,646.696,192.342
0.667,565.035,254.380
0.733,421.949,311.773
0.800,323.784,430.806
0.867,225.516,517.890
0.933,185.371,587.075
1.000,163.997,627.527
1.067,176.652,648.999
1.133,188.586,594.236
1.200,162.254,609.945
1.267,146.904,685.401
1.333,121.560,755.703
1.400,117.481,915.633
1.467,123.298,985.928
1.533,157.709,1074.157
1.600,218.536,1196.017
1.667,245.940,1283.596
1.733,158.851,1376.605
1.800,152.531,1449.644
1.867,234.740,1506.526
1.933,330.517,1532.854
2.000,254.395,1396.702
2.067,198.609,1333.590
2.133,128.820,1255.687
2.200,188.264,1157.603
2.267,238.513,1116.076
2.333,340.816,1099.894
2.400,446.486,1043.582
2.467,406.621,989.159
2.533,290.799,977.646
2.600,247.962,1050.046
2.667,267.610,1156.399
2.733,343.222,1241.078
2.800,465.391,1255.691
2.867,527.047,1246.742
2.933,639.864,1232.166
3.000,702.047,1234.214
3.067,725.409,1352.602
3.133,641.571,1458.061
3.200,590.376,1515.424
3.267,524.505,1628.306
3.333,451.908,1633.020
3.400,405.745,1684.455
3.467,430.283,1791.321
3.533,455.786,1800.480
3.600,477.555,1807.925
3.667,391.552,1716.931
3.733,321.158,1647.391
3.800,272.306,1549.661
3.867,223.935,1462.299
3.933,199.936,1401.217
4.000,223.436,1280.226
4.067,220.174,1178.766
4.133,203.780,1101.240
4.200,224.410,1001.787
4.267,252.313,880.965
4.333,277.592,822.954
4.400,218.986,720.005
4.467,144.698,703.364
4.533,123.228,870.144
4.600,131.036,993.575
4.667,189.924,1102.549
4.733,227.746,1196.760
4.800,251.497,1326.816
4.867,179.493,1416.726
4.933,164.648,1477.271
5.000,188.426,1520.957
5.067,290.490,1585.459
5.133,360.660,1623.820
5.200,372.565,1697.386
5.267,388.491,1767.891
5.333,427.694,1805.676
5.400,547.728,1808.441
5.467,577.422,1701.016
5.533,595.121,1594.742
5.600,545.491,1562.107
5.667,485.123,1547.066
5.733,411.930,1558.315
5.800,310.640,1604.057
5.867,264.394,1568.694
5.933,273.186,1444.084
6.000,225.942,1389.104
6.067,194.002,1305.544
6.133,191.969,1209.167
6.200,159.989,1098.846
6.267,114.806,1045.257
6.333,92.926,1035.155
6.400,48.077,1034.076
6.467,153.571,967.377
6.533,224.451,1019.723
6.600,313.930,1085.306
6.667,463.276,1049.228
6.733,547.969,1019.673
6.800,645.661,925.748
6.867,708.602,829.820
6.933,688.619,751.810
7.000,657.820,651.039
7.067,650.058,549.238
7.133,588.242,483.600
7.200,496.780,481.137
7.267,360.166,502.317
7.333,281.471,480.449
7.400,208.884,521.168
7.467,173.923,568.790
7.533,135.572,651.587
7.600,111.369,774.834
7.667,105.292,891.909
7.733,121.007,961.794
7.800,251.243,1007.505
7.867,325.537,1005.492
7.933,425.208,904.408
8.000,472.301,840.290
8.067,499.815,800.856
8.133,619.746,755.420
8.200,681.303,739.069
8.267,791.124,715.214
8.333,889.531,695.197
8.400,967.977,645.710
8.467,1078.072,568.004
8.533,1118.316,485.146
8.600,1133.482,360.032
8.667,1078.496,283.367
8.733,999.560,143.706
8.800,882.073,121.089
8.867,793.853,143.247
8.933,651.632,172.709
9.000,521.925,262.626
9.067,400.902,311.027
9.133,343.207,366.882
9.200,292.072,387.074
9.267,212.239,484.248
9.333,189.667,534.103
9.400,200.089,566.538
9.467,158.881,609.090
9.533,138.060,645.520
9.600,95.462,733.633
9.667,174.387,650.402
9.733,181.046,564.233
9.800,182.501,540.590
9.867,285.298,543.667
9.933,361.966,506.834
10.000,428.618,473.197
10.067,503.874,410.207
10.133,562.288,339.641
10.200,567.788,229.598
10.267,640.804,166.606
10.333,773.233,112.255
10.400,802.747,97.538
10.467,853.628,104.179
10.533,870.556,162.704
10.600,913.579,178.952
10.667,893.431,171.350
10.733,905.559,245.168
10.800,913.821,287.384
10.867,913.027,338.928
10.933,877.304,423.392
11.000,812.840,396.710
11.067,884.067,347.800
11.133,963.048,334.999
11.200,1075.760,300.664
11.267,1135.843,265.819
11.333,1234.256,321.466
11.400,1216.553,477.929
11.467,1281.914,583.899
11.533,1343.819,607.389
11.600,1442.569,628.340
11.667,1499.337,652.503
11.733,1569.655,736.872
11.800,1559.164,858.837
11.867,1517.862,927.043
11.933,1460.070,1044.885
12.000,1454.981,1147.237
12.067,1466.967,1210.591
12.133,1487.038,1265.951
12.200,1488.768,1349.838
12.267,1448.375,1426.066
12.333,1406.235,1499.534
12.400,1327.118,1593.321
12.467,1206.957,1634.213
12.533,1123.684,1658.271
12.600,965.216,1447.364
12.667,932.437,1330.500
12.733,895.699,1233.708
12.800,870.242,1156.804
12.867,927.733,1048.657
12.933,976.167,993.154
13.000,1046.711,918.042
13.067,1096.746,847.005
13.133,1159.025,788.589
13.200,1242.743,773.995
13.267,1338.979,837.347
13.333,1374.822,901.005
13.400,1376.213,921.537
13.467,1408.476,981.858
13.533,1416.978,1085.868
13.600,1395.561,1156.211
13.667,1396.141,1182.974
13.733,1448.482,1243.168
13.800,1506.177,1307.753
13.867,1542.374,1398.909
13.933,1559.748,1471.207
14.000,1583.038,1577.196
14.067,1613.148,1644.517
14.133,1713.628,1706.200
