time,trajectories1,trajectories2
16.267,1106.110,2002.614
16.333,1158.534,1986.140
16.400,1212.948,1986.493
16.467,1229.173,1991.277
16.533,1280.154,1960.077
16.600,1317.049,1798.370
16.666,1364.197,1683.753
16.733,1399.242,1552.926
16.800,1402.576,1531.125
16.866,1407.110,1511.492
16.933,1427.995,1474.630
17.000,1430.163,1400.825
17.066,1453.772,1290.710
17.133,1456.282,1172.864
17.200,1459.135,1088.459
17.266,1486.036,967.679
17.333,1478.075,899.052
17.400,1431.734,784.903
17.466,1393.609,660.639
17.533,1320.871,613.868
17.600,1207.867,562.908
17.666,1122.990,562.672
17.733,1001.416,567.121
17.800,869.054,577.438
17.866,780.291,611.244
17.933,714.490,669.049
18.000,681.978,654.498
18.066,614.342,599.433
18.133,548.644,565.351
18.200,473.716,552.155
18.266,379.860,544.238
18.333,309.903,553.387
18.400,236.628,522.473
18.466,237.137,458.002
18.533,242.579,452.412
18.600,269.554,447.777
18.666,268.903,451.286
18.733,381.099,473.876
18.800,466.747,442.833
18.866,543.048,396.705
18.933,608.591,388.621
19.000,678.282,392.520
19.066,712.535,492.913
19.133,750.572,558.875
19.200,790.680,604.658
19.266,857.299,672.835
19.333,993.424,690.547
19.400,1116.621,684.019
19.466,1191.087,705.101
19.533,1308.581,728.007
19.600,1425.381,694.328
19.666,1496.946,705.847
19.733,1501.838,797.156
19.800,1597.346,789.048
19.866,1703.892,791.579
19.933,1747.509,851.557
20.000,1838.942,913.884
20.066,1885.773,959.455
20.133,1945.903,1009.367
20.200,1958.494,1029.388
20.266,1890.506,1079.104
20.333,1790.794,1138.253
20.400,1729.410,1205.039
20.466,1708.318,1246.060
20.533,1663.527,1287.866
20.600,1575.849,1332.309
20.666,1501.133,1390.579
20.733,1474.824,1431.166
20.800,1439.762,1493.621
20.866,1391.493,1535.053
20.933,1326.992,1568.086
21.000,1235.560,1546.609
21.066,1092.651,1499.686
21.133,1064.866,1430.627
21.200,1016.990,1338.794
21.266,976.516,1298.468
21.333,921.157,1304.680
21.400,849.159,1320.055
21.466,762.757,1324.510
21.533,677.342,1265.733
21.600,616.003,1211.949
21.666,608.545,1107.360
21.733,599.941,1008.363
21.800,593.185,934.257
21.866,623.550,847.601
21.933,683.769,792.367
22.000,772.818,717.456
22.066,804.411,692.303
22.133,793.869,686.468
22.200,800.108,687.203
22.266,812.801,657.776
22.333,826.916,672.502
22.400,832.073,766.235
22.466,840.582,878.408
22.533,865.790,993.091
22.600,945.513,1095.282
22.666,1070.490,1177.203
22.733,1180.318,1248.821
22.800,1279.370,1289.838
22.866,1366.147,1268.197
22.933,1467.523,1235.541
23.000,1477.388,1188.097
23.066,1486.867,1154.410
23.133,1488.605,1127.297
23.200,1504.716,1104.498
23.266,1561.984,1076.734
23.333,1618.926,1041.026
23.400,1661.825,944.220
23.466,1648.266,870.010
23.533,1654.013,746.256
23.600,1683.794,646.534
23.666,1754.593,610.757
23.733,1841.923,624.908
23.800,1872.904,722.619
23.866,1891.728,771.822
23.933,1947.578,772.925
24.000,1951.487,812.059
24.066,1973.395,846.573
24.133,1977.355,849.945
24.200,1989.517,913.033
24.266,1995.631,941.530
24.333,1997.907,947.083
24.400,1982.459,1003.509
24.466,1987.934,1021.222
24.533,1994.404,1053.654
24.600,1966.078,1086.412
24.666,1967.849,1093.169
24.733,1965.112,1103.788
24.800,1981.380,1094.559
24.866,1983.514,1085.256
24.933,1810.138,983.331
25.000,1812.110,958.025
25.066,1848.733,916.544
25.133,1896.762,904.704
25.200,1946.652,902.055
25.266,1976.618,893.796
25.333,1979.646,899.111
25.400,1979.151,894.447
25.466,1981.260,898.208
25.533,1980.915,897.448
25.600,1980.547,898.686
25.666,1980.095,898.731
25.733,1980.063,899.525
25.800,1980.968,899.294
25.866,1980.021,899.666
25.933,1981.146,899.347
26.000,1941.463,860.211
26.066,1863.858,936.127
26.133,1801.772,984.971
26.200,1727.917,1050.726
26.266,1657.687,1155.813
26.333,1647.843,1244.340
26.400,1628.842,1319.212
26.466,1574.780,1411.891
26.533,1471.074,1496.991
26.600,1362.807,1597.609
26.666,1316.145,1671.873
26.733,1311.367,1717.657
26.800,1294.866,1822.583
26.866,1243.361,1873.390
26.933,1221.003,1933.322
27.000,1231.053,1975.723
27.066,1315.156,1963.244
27.133,1406.796,1896.122
27.200,1444.918,1867.856
27.266,1479.043,1883.425
27.333,1513.721,1792.881
27.400,1509.308,1678.250
27.466,1515.943,1635.037
27.533,1532.668,1622.937
27.600,1528.596,1606.846
27.666,1511.192,1564.480
27.733,1500.188,1545.933
27.800,1485.100,1575.931
27.866,1498.271,1597.595
27.933,1543.823,1618.057
28.000,1620.622,1534.656
28.066,1647.907,1417.664
28.133,1657.087,1338.200
28.200,1745.348,1314.293
28.266,1802.744,1344.957
28.333,1805.377,1467.350
28.400,1829.943,1559.396
28.466,1829.393,1559.574
28.533,1828.500,1565.284
28.600,1827.270,1568.606
28.666,1811.498,1547.347
28.733,1837.213,1520.632
28.800,1876.129,1459.331
28.866,1890.322,1451.082
28.933,1905.429,1433.245
29.000,1922.604,1415.263
29.066,1929.410,1404.761
29.133,1931.185,1363.431
29.200,1959.340,1303.657
29.266,1923.783,1212.929
29.333,1923.012,1172.447
29.400,1944.300,1128.969
29.466,1900.668,1058.301
29.533,1803.255,989.139
29.600,1699.509,951.351
29.666,1593.767,954.189
29.733,1502.458,954.751
29.800,1419.345,1001.697
29.866,1336.647,1061.081
29.933,1285.284,1144.520
30.000,1272.433,1245.405
30.066,1263.355,1313.922
30.133,1247.477,1379.384
30.200,1169.375,1425.513
30.266,1152.206,1431.046
30.333,1112.204,1458.501
30.400,1071.405,1503.150
30.466,1015.461,1494.430
30.533,926.692,1480.904
30.600,822.540,1471.792
30.666,755.325,1431.650
30.733,702.776,1350.456
30.800,659.270,1263.991
30.866,587.550,1199.015
30.933,564.934,1142.223
31.000,585.361,1138.573
31.066,634.369,1066.335
31.133,637.312,1021.281
31.200,644.245,907.127
31.266,719.686,812.608
31.333,731.365,726.610
31.400,771.568,707.260
31.466,842.688,703.281
31.533,941.088,673.683
31.600,1005.242,616.871
31.666,1058.417,555.186
31.733,1129.261,528.412
31.800,1171.770,542.137
31.866,1168.903,542.167
31.933,1178.668,551.879
32.000,1196.918,571.948
32.066,1209.800,656.327
32.133,1230.447,781.378
32.200,1302.834,882.075
32.266,1339.130,928.606
32.333,1367.561,972.362
32.400,1356.572,973.469
32.466,1362.903,966.974
32.533,1367.989,966.930
32.600,1366.383,967.175
32.666,1366.983,874.143
32.733,1401.970,828.451
32.800,1487.632,801.194
32.866,1541.921,895.819
32.933,1597.058,1008.253
33.000,1616.336,1102.565
33.066,1662.803,1205.798
33.133,1584.340,1290.556
33.200,1518.751,1375.038
33.266,1507.535,1433.473
33.333,1531.334,1469.204
33.400,1550.498,1526.451
33.466,1584.514,1546.116
33.533,1627.875,1529.089
33.600,1697.568,1567.281
33.666,1687.650,1612.680
33.733,1664.126,1709.162
33.800,1642.226,1770.533
33.866,1617.478,1805.771
33.933,1538.830,1847.575
34.000,1470.773,1902.124
34.066,1363.226,1947.771
34.133,1303.650,1972.230
34.200,1262.319,1986.648
34.266,1178.601,1894.724
34.333,1112.479,1911.203
34.400,1040.625,1963.121
34.466,989.651,1960.165
34.533,895.892,1932.117
34.600,806.086,1904.512
34.666,747.345,1886.711
34.733,671.110,1896.105
34.800,632.117,1923.719
34.866,608.801,1870.545
34.933,554.075,1794.767
35.000,483.459,1718.297
35.066,417.465,1736.476
35.133,276.607,1675.695
35.200,267.771,1660.125
35.266,299.144,1547.596
35.333,316.579,1442.060
35.400,371.668,1366.817
35.466,448.426,1303.784
35.533,504.787,1279.903
35.600,531.978,1299.247
35.666,600.297,1269.676
35.733,653.275,1180.371
35.800,734.425,1134.866
35.866,823.851,1031.925
35.933,845.930,986.575
36.000,881.343,865.497
36.066,911.815,757.969
36.133,913.062,694.399
36.200,880.627,643.332
36.266,966.909,552.263
36.333,1091.906,544.006
36.400,1231.965,542.865
36.466,1359.214,565.251
36.533,1405.015,592.477
36.600,1459.405,648.366
36.666,1518.991,729.967
36.733,1571.852,822.009
36.800,1640.814,889.401
36.866,1698.439,947.946
36.933,1698.010,957.203
37.000,1724.582,973.602
37.066,1738.602,1004.697
37.133,1784.329,1022.602
37.200,1847.810,1055.060
37.266,1905.360,1058.752
37.333,1956.730,1037.250
37.400,1981.213,1082.307
37.466,1957.390,1183.196
37.533,1958.732,1225.971
37.600,1958.863,1229.496
37.666,1963.620,1224.666
37.733,1963.039,1233.614
37.800,1928.029,1277.583
37.866,1925.907,1302.553
37.933,1923.171,1325.560
38.000,1930.665,1345.704
38.066,1837.334,1383.782
38.133,1738.746,1415.177
38.200,1680.450,1422.930
38.266,1504.864,1533.216
38.333,1393.202,1583.023
38.400,1256.189,1652.988
38.466,1189.780,1702.047
38.533,1061.587,1769.060
38.600,985.147,1766.782
38.666,905.405,1734.380
38.733,897.826,1642.903
38.800,919.210,1576.526
38.866,843.450,1490.660
38.933,802.061,1408.896
39.000,736.974,1380.799
39.066,640.251,1378.003
39.133,551.663,1396.620
39.200,439.492,1424.395
39.266,368.019,1434.450
39.333,337.056,1424.448
39.400,389.204,1612.279
39.466,454.009,1694.280
39.533,471.745,1826.565
39.600,563.749,1879.436
39.666,580.635,1892.637
39.733,643.781,1934.519
39.800,707.469,1902.133
39.866,816.337,1902.922
39.933,904.511,1953.000
40.000,945.070,1982.301
40.066,1002.376,1986.058
40.133,1080.447,2004.096
40.200,1192.429,1968.463
40.266,1238.454,1971.566
40.333,1319.817,1890.102
40.400,1324.933,1897.292
40.466,1333.048,1905.128
40.533,1410.744,1901.854
40.600,1439.232,1902.949
40.666,1441.238,1901.858
40.733,1441.630,1902.998
40.800,1498.546,1885.269
40.866,1514.093,1868.345
40.933,1534.191,1855.071
41.000,1582.304,1813.260
41.066,1580.037,1833.296
41.133,1531.507,1838.301
41.200,1468.098,1866.534
41.266,1464.810,1874.411
41.333,1403.116,1920.548
41.400,1334.176,1937.211
41.466,1242.800,1934.025
41.533,1136.168,1959.942
41.600,1075.075,2004.108
41.666,1115.941,1982.426
41.733,1124.693,1981.302
41.800,1169.784,1944.743
41.866,1083.477,2001.397
41.933,984.849,1936.076
42.000,885.183,1861.470
42.066,848.271,1907.953
42.133,845.448,1938.738
42.200,839.226,1960.019
42.266,697.141,1877.853
42.333,639.952,1845.835
42.400,627.702,1785.427
42.466,557.653,1730.878
42.533,454.711,1719.150
42.600,376.992,1740.134
42.666,339.770,1696.203
42.733,332.888,1665.511
42.800,337.742,1623.391
42.866,320.892,1512.319
42.933,337.249,1385.119
43.000,346.346,1319.145
43.066,326.324,1192.057
43.133,223.993,1121.810
43.200,149.325,1173.220
43.266,153.676,1260.055
43.333,125.759,1321.670
43.400,168.260,1363.865
43.466,259.143,1422.321
43.533,320.030,1484.423
43.600,408.875,1562.824
43.666,517.812,1603.445
43.733,613.500,1627.006
43.800,644.109,1574.493
43.866,687.668,1546.031
43.933,739.543,1507.474
44.000,809.912,1452.139
44.066,900.858,1350.179
44.133,975.512,1243.798
44.200,1028.583,1176.437
44.266,1060.817,1071.051
44.333,1080.512,1025.813
44.400,1083.235,1003.808
44.466,1091.862,984.347
44.533,1091.022,975.121
44.600,1088.695,969.645
44.666,1079.095,964.803
44.733,1070.247,949.322
44.800,955.783,981.384
44.866,846.315,1039.084
44.933,820.465,1113.878
45.000,823.401,1250.778
45.066,887.308,1356.560
45.133,958.412,1410.590
45.200,1056.260,1451.340
45.266,1160.601,1447.170
45.333,1277.913,1447.245
45.400,1397.858,1411.497
45.466,1482.104,1384.583
45.533,1582.979,1379.218
45.600,1680.764,1395.072
45.666,1745.610,1386.767
45.733,1813.744,1344.997
45.800,1875.316,1403.319
45.866,1895.865,1431.842
45.933,1901.763,1427.068
