time,trajectories1,trajectories2
0.000,956.083,824.550
0.067,934.536,772.201
0.133,886.933,745.907
0.200,815.205,822.334
0.267,807.004,839.090
0.333,671.787,883.322
0.400,607.662,904.840
0.467,623.072,584.334
0.533,507.283,485.629
0.600,499.981,398.970
0.667,496.528,365.043
0.733,549.818,345.238
0.800,563.899,560.903
0.867,563.686,580.899
0.933,519.315,647.042
1.000,397.513,598.605
1.067,360.852,586.861
1.133,483.876,392.061
1.200,544.241,404.173
1.267,572.448,315.949
1.333,631.738,291.703
1.400,683.247,280.074
1.467,786.123,268.822
1.533,852.529,272.889
1.600,920.363,326.801
1.667,1016.372,393.744
1.733,1096.006,427.125
1.800,1155.835,497.051
1.867,1199.850,548.007
1.933,1253.903,605.560
2.000,1294.230,648.053
2.067,1379.471,673.928
2.133,1456.521,618.211
2.200,1504.046,575.785
2.267,1566.347,569.431
2.333,1652.117,585.683
2.400,1709.311,636.474
2.467,1739.004,671.846
2.533,1779.668,694.295
2.600,1834.915,675.484
2.667,1873.971,667.813
2.733,1866.681,699.799
2.800,1873.809,735.590
2.867,1842.741,795.268
2.933,1789.823,829.039
3.000,1738.074,893.517
3.067,1713.020,943.706
3.133,1742.296,1002.707
3.200,1772.540,1012.083
3.267,1804.012,936.111
3.333,1756.069,867.245
3.400,1696.063,805.139
3.467,1616.290,794.546
3.533,1549.396,766.090
3.600,1489.773,740.769
3.667,1414.047,665.095
3.733,1380.224,607.824
3.800,1343.302,531.031
3.867,1255.838,489.061
3.933,1187.753,488.573
4.000,1078.845,452.103
4.067,1045.690,397.066
4.133,1033.219,364.022
4.200,1047.625,276.853
4.267,1123.854,301.906
4.333,1193.603,339.696
4.400,1276.884,391.747
4.467,1324.896,436.761
4.533,1431.526,468.856
4.600,1491.828,541.123
4.667,1546.755,610.294
4.733,1578.391,652.826
4.800,1651.143,688.010
4.867,1660.262,718.278
4.933,1657.787,786.747
5.000,1658.374,859.782
5.067,1632.216,947.539
5.133,1604.037,1001.326
5.200,1607.518,1053.549
5.267,1625.460,1100.775
5.333,1683.566,1101.948
5.400,1752.310,1041.279
5.467,1798.269,1000.396
5.533,1846.792,918.446
5.600,1821.241,851.364
5.667,1781.731,780.428
5.733,1704.001,701.278
5.800,1608.718,675.080
5.867,1549.553,669.347
5.933,1471.136,614.571
6.000,1414.103,579.127
6.067,1327.688,521.922
6.133,1244.361,478.637
6.200,1181.507,450.303
6.267,1178.118,374.591
6.333,1218.635,376.482
6.400,1280.794,377.658
6.467,1330.645,407.608
6.533,1393.876,440.109
