x,y,r,theta,vx,vy,spd,vtheta,vrx,vry,vr,spd_r,vtx,vty,spd_t,phi,refl_prop
0.789805434929266,4.059784638220123,4.135896992645235,-0.19214363370464094,-0.3579500490329529,0.06903180826842284,0.36454578334620974,1.3802820501880186,0.0005832281949768815,-0.00011247741700595761,-0.0005939749967400341,0.0005939749967400341,-0.35853327722792977,0.0691442856854288,0.36513975834294976,,0.4570063694267516
0.36217767110449994,4.1421108394096695,4.157914726326378,-0.08721613183436429,-0.45230621158090734,0.06020265228131539,0.456295154890316,1.4384725481928597,-0.020395550710138932,0.002714679162147195,0.020575421544241686,0.020575421544241686,-0.4319106608707684,0.057487973119168194,0.43571973334607433,0.04478426022631233,0.4585987261146497
-0.11480698823254863,4.180189942782754,4.181766206077177,0.02745763626135932,-0.4847195221500164,-0.014176270152045437,0.4849267798222367,1.6000343287633851,0.0008629775589148349,2.523893190038084e-05,-0.0008633465531720617,0.0008633465531720617,-0.48558249970893125,-0.014201509083945817,0.48579012637540875,0.001722796491248504,0.4585987261146497
-0.6072613731955329,4.113758299105578,4.158337855301724,0.14655874442045888,-0.47863347075031926,-0.12078769150884731,0.49363920604276684,1.8179944366786402,0.04808809779598155,0.012135487124882448,-0.049595717530791644,0.049595717530791644,-0.5267215685463008,-0.13292317863372977,0.5432349235735584,0.09937364793313468,0.4601910828025478
-1.0720739297331872,3.938614559765059,4.081914644037387,0.2657572067692859,-0.44696013558096437,-0.23673491421578602,0.5057833354385152,2.0578859516065777,0.09812103893499136,0.051970352355576545,-0.11103448025566144,0.11103448025566144,-0.5450811745159557,-0.2887052665713626,0.6168178156941767,0.21496992719961722,0.4601910828025478
-1.5011816443574615,3.640288470674007,3.9376701841416164,0.3911329034293612,-0.3805232155062546,-0.3570683047968138,0.5218195970157596,2.324405879541715,0.13493012225379974,0.12661322110161552,-0.18503255294448034,0.18503255294448034,-0.5154533377600543,-0.4836815258984293,0.7068521499602399,0.3454461415283879,0.4585987261146497
-1.8331203607456965,3.2244779501714316,3.709122309674108,0.5169367258711062,-0.2715765910047089,-0.4410436716681464,0.5179511223081369,2.5896661986765404,0.13066123823504444,0.2121954327605916,-0.2491972328529548,0.2491972328529548,-0.4022378292397533,-0.653239104428738,0.7671483551610918,0.46861492937288823,0.4585987261146497
-2.0443348263668795,2.758201127337714,3.4332169085485313,0.6378350178019137,-0.16064903021858729,-0.461226126652661,0.48840316421701147,2.8064254360254264,0.09041656529206309,0.25958751284183385,-0.2748833063367493,0.2748833063367493,-0.2510655955106504,-0.7208136394944948,0.7632864705537608,0.5395348373912957,0.4585987261146497
-2.154418421182871,2.3020256968661097,3.1529099325169425,0.7522880585146615,-0.06334021689277297,-0.4505231785315423,0.45495397291395034,3.001915568856415,0.039770293220788025,0.2828761850199036,-0.28565820883405785,0.28565820883405785,-0.103110510113561,-0.7333993635514459,0.740612181748008,0.58731441488364,0.4601910828025478
-2.1710152601524255,1.8571547702746294,2.85697936649331,0.8631574550295533,0.002406694081689143,-0.4228841500521571,0.42289099841654015,-3.1359015722420045,-0.0015748334174509428,0.2767165533332189,-0.27672103459785796,0.27672103459785796,0.0039815274991400855,-0.6996007033853759,0.699612033014398,0.5727675007045886,0.4601910828025478
